                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.309,                 1.8299,                  1.142,                0.51776,                0.20349,                0.25284,                0.16386,                 1.5259,                 2.7805,                 1.3798,             0.00013735,             0.00013735,             0.00013735
                     35,                 1.2465,                 1.8457,                 1.1413,                0.50888,                0.19718,                0.24385,                0.15886,                 1.4917,                 2.8386,                 1.3631,             0.00013533,             0.00013533,             0.00013533
                     36,                 1.2785,                 1.8014,                 1.1395,                0.51523,                0.17731,                0.22674,                0.14203,                 1.5364,                 2.9711,                 1.3787,             0.00013331,             0.00013331,             0.00013331
                     37,                 1.2568,                 1.7876,                 1.1563,                0.53803,                0.17651,                0.23486,                0.14318,                 1.5732,                 3.1111,                 1.4044,             0.00013129,             0.00013129,             0.00013129
                     38,                 1.2361,                 1.7639,                 1.1457,                0.59124,                0.18801,                   0.22,                0.13505,                 1.5762,                 3.1073,                 1.4147,             0.00012927,             0.00012927,             0.00012927
                     39,                  1.212,                 1.6365,                 1.1329,                0.52127,                0.19336,                 0.2345,                0.14148,                 1.5774,                 3.0304,                 1.4171,             0.00012726,             0.00012726,             0.00012726
                     40,                 1.2344,                 1.7257,                 1.1293,                0.48031,                0.15582,                0.21241,                0.13704,                  1.562,                 3.0096,                 1.4038,             0.00012524,             0.00012524,             0.00012524
                     41,                  1.211,                 1.6805,                 1.1228,                0.47875,                0.16469,                0.21448,                0.13424,                 1.5614,                 2.9741,                 1.4018,             0.00012322,             0.00012322,             0.00012322
                     42,                 1.1735,                 1.6252,                 1.1121,                0.46005,                0.14225,                 0.2259,                0.14436,                 1.6012,                  2.856,                 1.4066,              0.0001212,              0.0001212,              0.0001212
                     43,                 1.2457,                 1.6877,                 1.1366,                0.09138,                0.53953,                0.26267,                0.16587,                 1.5799,                 2.8905,                 1.4055,             0.00011918,             0.00011918,             0.00011918
                     44,                 1.2014,                 1.5977,                 1.1151,                0.49919,                0.17864,                 0.2887,                0.17559,                 1.5771,                 2.9297,                 1.4058,             0.00011716,             0.00011716,             0.00011716
                     45,                 1.2044,                 1.6387,                 1.0939,                0.55933,                0.18467,                0.31771,                0.18493,                 1.5775,                 2.9128,                 1.4027,             0.00011514,             0.00011514,             0.00011514
                     46,                 1.1711,                 1.5608,                 1.1041,                0.55183,                0.17332,                0.30603,                 0.1806,                 1.5891,                 2.9495,                 1.4002,             0.00011312,             0.00011312,             0.00011312
                     47,                  1.196,                 1.5457,                  1.105,                0.53586,                0.16092,                0.27902,                0.16882,                 1.5343,                 2.9124,                 1.3676,              0.0001111,              0.0001111,              0.0001111
                     48,                 1.1486,                 1.5518,                  1.116,                 0.5314,                0.15193,                0.28051,                0.16232,                 1.5284,                 2.9914,                 1.3817,             0.00010908,             0.00010908,             0.00010908
                     49,                 1.1667,                 1.5328,                 1.0982,                0.49914,                 0.1401,                0.27703,                0.16322,                 1.5387,                 3.0253,                 1.4103,             0.00010706,             0.00010706,             0.00010706
                     50,                  1.138,                 1.5565,                 1.0995,                0.36572,                0.18899,                0.28822,                0.16828,                 1.5614,                 2.9949,                 1.4222,             0.00010504,             0.00010504,             0.00010504
                     51,                 1.1552,                 1.5687,                 1.0935,                 0.5691,                 0.1703,                0.29272,                0.18161,                 1.6025,                 2.8223,                 1.4388,             0.00010302,             0.00010302,             0.00010302
