                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5497,                 5.0834,                 1.3878,                      0,                      0,                      0,                      0,                 1.2519,                 5.0117,                 1.1261,              3.672e-05,              3.672e-05,              3.672e-05
                      2,                 1.4911,                 4.9369,                 1.3413,                      0,                      0,                      0,                      0,                 1.2615,                 4.9595,                 1.1255,             7.4733e-05,             7.4733e-05,             7.4733e-05
                      3,                 1.4766,                 4.6825,                 1.3032,                    0.1,                  0.055,                0.07725,                 0.0515,                 1.2803,                 4.8523,                 1.1556,             0.00011198,             0.00011198,             0.00011198
                      4,                 1.5251,                 4.2701,                 1.2834,                0.11429,                0.16755,                0.13897,                0.09011,                 1.3809,                 4.5256,                 1.2215,             0.00014846,             0.00014846,             0.00014846
                      5,                 1.5284,                 3.8069,                 1.3028,                0.08422,                 0.2701,                0.14964,                0.10312,                 1.4549,                 4.1725,                 1.2714,             0.00018417,             0.00018417,             0.00018417
                      6,                 1.4976,                 3.4288,                 1.2664,                0.09093,                0.29713,                0.17525,                0.11976,                 1.4916,                 3.9323,                 1.2877,              0.0001939,              0.0001939,              0.0001939
                      7,                 1.4917,                 3.2608,                 1.2813,                0.09034,                0.30844,                0.17332,                  0.111,                 1.5044,                 3.8648,                 1.2972,             0.00019188,             0.00019188,             0.00019188
                      8,                  1.434,                 3.1434,                 1.2647,                0.70911,                0.11613,                0.20927,                0.13461,                 1.4837,                 3.7638,                 1.2856,             0.00018986,             0.00018986,             0.00018986
                      9,                 1.4041,                 2.9703,                 1.2533,                0.70468,                0.13285,                0.20308,                0.12442,                 1.5152,                 3.6516,                 1.2898,             0.00018784,             0.00018784,             0.00018784
                     10,                 1.4669,                 2.8472,                 1.2359,                0.12844,                0.37414,                0.25205,                0.15528,                 1.5522,                 3.5564,                 1.3233,             0.00018582,             0.00018582,             0.00018582
                     11,                 1.3919,                 2.7092,                 1.2247,                0.65119,                0.16882,                0.23881,                0.15224,                 1.5682,                 3.4171,                 1.3344,              0.0001838,              0.0001838,              0.0001838
                     12,                 1.4251,                 2.5857,                 1.2212,                0.60231,                0.17859,                0.23434,                0.15107,                 1.5508,                 3.3659,                 1.3226,             0.00018178,             0.00018178,             0.00018178
                     13,                 1.4492,                 2.5864,                 1.2397,                0.55227,                0.19707,                0.23995,                0.15465,                  1.567,                 3.3247,                  1.343,             0.00017976,             0.00017976,             0.00017976
                     14,                 1.4379,                 2.5635,                 1.2407,                0.52347,                0.18796,                0.22437,                0.13891,                 1.5722,                  3.243,                 1.3431,             0.00017775,             0.00017775,             0.00017775
                     15,                 1.3577,                 2.4146,                 1.1992,                0.57439,                0.17919,                0.23817,                0.14757,                 1.5623,                 3.2222,                 1.3289,             0.00017573,             0.00017573,             0.00017573
